Wall time,Step,Value
1699612717.8326104,0,0.6189808249473572
1699612920.7803617,1,0.605851948261261
1699613123.8773184,2,0.6006998419761658
1699613325.105256,3,0.5970245599746704
1699613525.5756426,4,0.59287428855896
1699613725.1877012,5,0.5889637470245361
1699613926.3641956,6,0.5848314166069031
1699614125.768126,7,0.5799110531806946
1699614328.635949,8,0.5745025277137756
1699614531.1287715,9,0.5682092905044556
1699614733.9442146,10,0.56097012758255
1699614938.1532974,11,0.5575813055038452
1699615141.4887476,12,0.5543431043624878
1699615345.0677888,13,0.5516582727432251
1699615547.572783,14,0.5479552745819092
1699615747.9317439,15,0.5451928973197937
1699615952.6877344,16,0.541388988494873
1699616154.8523867,17,0.5383630990982056
